site_group	site_name	recon_name	recon_originator	recon_citation	recon_link	base_name	base_originator	base_link	col_name	lat	lon
"USA, WY"	"Fontanelle Crk near Fontanelle, WY"	"Fontanelle Crk near Fontanelle, WY"	"Barnett, F.A.; Gray, S.T.; Tootle, G.A"	"Barnett, F.A., T.A. Watson, G.A. Tootle and S.T. Gray. 2010. Upper Green River Basin (USA) streamflow reconstructions. Journal of Hydrologic Engineering."	http://www.treeflow.info/content/fontanelle-crk-near-fontanelle-wy	USGS 09210500	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=09210500&agency_cd=USGS	fontanellecrk	42.095806	-110.416083
"USA, WY"	Green River below Fontanelle Res	Green River below Fontanelle Res	"Barnett, F.A.; Gray, S.T.; Tootle, G.A"	"Barnett, F.A., T.A. Watson, G.A. Tootle and S.T. Gray. 2010. Upper Green River Basin (USA) streamflow reconstructions. Journal of Hydrologic Engineering."	http://www.treeflow.info/content/green-river-below-fontanelle-reservoir-wy	USGS 09211200	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=09211200&agency_cd=USGS	greenfontanelle	42.095806	-110.416083
"USA, WY"	Green River near Green River	Green River near Green River	"Woodhouse, C.A.; Gray, S.T. ;  Meko, D.M."	"Woodhouse, C.A., S.T. Gray, and D.M. Meko. 2006. Updated streamflow reconstructions for the Upper Colorado River basin. Water Resources Research 42(5): W05415"	http://www.treeflow.info/content/green-river-near-green-river-wy	USGS 09217000	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=09217000&agency_cd=USGS	greengreenrivwy	41.516389	-109.448333
"USA, WY"	Green River near Barnett	Green River near Barnett	"Barnett, F.A.; Gray, S.T.; Tootle, G.A"	"Barnett, F.A., T.A. Watson, G.A. Tootle and S.T. Gray. 2010. Upper Green River Basin (USA) streamflow reconstructions. Journal of Hydrologic Engineering."	http://www.treeflow.info/content/green-river-near-green-river-wy-barnett	USGS 09217000	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=09217000&agency_cd=USGS	greengreenrivwybarnett	41.516389	-109.448333
"USA, UT"	"Green River near Greendale, UT"	"Green River near Greendale, UT"	"Barnett, F.A.; Gray, S.T.; Tootle, G.A"	"Barnett, F.A., T.A. Watson, G.A. Tootle and S.T. Gray. 2010. Upper Green River Basin (USA) streamflow reconstructions. Journal of Hydrologic Engineering."	http://www.treeflow.info/content/green-river-near-greendale-ut	USGS 09234500	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=09234500&agency_cd=USGS	greengreendale	40.908333	-109.422222
"USA, UT"	"Green River at Green River, UT"	"Green River at Green River, UT"	"Woodhouse, C.A.; Gray, S.T. ;  Meko, D.M."	"Woodhouse, C.A., S.T. Gray, and D.M. Meko. 2006. Updated streamflow reconstructions for the Upper Colorado River basin. Water Resources Research 42(5): W05415"	http://www.treeflow.info/content/green-river-green-river-ut	USGS 09315000	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=09315000&agency_cd=USGS	greengreenrivut	38.986111	-110.150556
"USA, CO"	"Little Snake River near Lily, CO"	"Little Snake River near Lily, CO"	"Gray, S.T.; Lukas, J.J.; Woodhouse, C.A."	"Gray, S. T., J. J. Lukas, C. A. Woodhouse. 2011. Millennial-length records of streamflow from three major upper Colorado River tributaries. Journal of the American Water Resources Association, 47(4): 704-712. DOI: 10.1111/j.1752-1688.2011.00535.x."	http://www.treeflow.info/content/little-snake-river-near-lily-co	USGS 09260000	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=09260000&agency_cd=USGS	littlesnake	40.549017	-108.424322
"USA, CO"	"Yamp River near Maybell, CO"	"Yampa River near Maybell, CO"	"Yampa River near Maybell, CO"	"Gray, S. T., J. J. Lukas, C. A. Woodhouse. 2011. Millennial-length records of streamflow from three major upper Colorado River tributaries. Journal of the American Water Resources Association, 47(4): 704-712. DOI: 10.1111/j.1752-1688.2011.00535.x."	http://www.treeflow.info/content/yampa-river-near-maybell-co	USGS 09251000	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=09251000&agency_cd=USGS	yampa	40.502778	-108.032778
"USA, UT"	"White River near Watson, UT"	"White River near Watson, UT"	"Gray, S.T.; Lukas, J.J.; Woodhouse, C.A."	"Gray, S. T., J. J. Lukas, C. A. Woodhouse. 2011. Millennial-length records of streamflow from three major upper Colorado River tributaries. Journal of the American Water Resources Association, 47(4): 704-712. DOI: 10.1111/j.1752-1688.2011.00535.x."	http://www.treeflow.info/content/white-river-near-watson-ut	USGS 09306500	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=09306500&agency_cd=USGS	white.x	39.978889	-109.178056
"USA, CO"	"Fraser River at Winter Park, CO"	"Fraser River at Winter Park, CO"	"Woodhouse, C.A.; Lukas, J.J."	"Woodhouse, C.A. and J.J. Lukas. 2006. Multi-century tree-ring reconstructions of Colorado streamflow for water resource planning. Climatic Change 78: 293-315."	http://www.treeflow.info/content/fraser-river-winter-park-co	USGS 09023750	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=09023750&agency_cd=USGS	fraserwinterpark	39.893028	-105.76475
"USA, CO"	"Fraser River at Granby, CO"	"Fraser River at Granby, CO"	"Woodhouse, C.A.; Lukas, J.J."	"Woodhouse, C.A. and J.J. Lukas. 2006. Multi-century tree-ring reconstructions of Colorado streamflow for water resource planning. Climatic Change 78: 293-315."	http://www.treeflow.info/content/fraser-river-granby-co	uSGS 09034000	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=09034000&agency_cd=USGS	frasergranby	40.085278	-105.954722
"USA, CO"	Willow Creek Reservoir Inflow	Willow Creek Reservoir Inflow	"Woodhouse, C.A.; Lukas, J.J."	"Woodhouse, C.A. and J.J. Lukas. 2006. Multi-century tree-ring reconstructions of Colorado streamflow for water resource planning. Climatic Change 78: 293-315."	http://www.treeflow.info/content/willow-creek-reservoir-inflow-co	USGS 09021000	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=09021000&agency_cd=USGS	willowcreekres	40.145833	-105.939444
"USA, CO"	"Colorado River near Granby, CO"	"Colorado River near Granby, CO"	"Woodhouse, C.A.; Lukas, J.J."	"Woodhouse, C.A. and J.J. Lukas. 2006. Multi-century tree-ring reconstructions of Colorado streamflow for water resource planning. Climatic Change 78: 293-315."	http://www.treeflow.info/content/colorado-river-near-granby-co	USGS 09019500	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=09019500&agency_cd=USGS	coloradogranby	40.120833	-105.9
"USA, CO"	"Colorado River at Hot Sulphur Springs, CO"	"Colorado River at Hot Sulphur Springs, CO"		"Woodhouse, C., and J. Lukas. Streamflow Reconstructions for Boulder Creek, South Boulder Creek, and the Colorado River. Report to City of Boulder and Hydrosphere Resource Consultants, January 2006."	http://www.treeflow.info/content/colorado-river-hot-sulphur-springs-co	USGS 09034500	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=09034500&agency_cd=USGS	coloradohotsulphur	40.083333	-106.0875
"USA, CO"	"Williams Fork near Leal, CO"	"Williams Fork near Leal, CO"	"Woodhouse, C.A.; Lukas, J.J."	"Woodhouse, C.A. and J.J. Lukas. 2006. Multi-century tree-ring reconstructions of Colorado streamflow for water resource planning. Climatic Change 78: 293-315."	http://www.treeflow.info/content/williams-fork-near-leal-co	USGS 09036000	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=09036000&agency_cd=USGS	williamsfork	39.833889	-106.055833
"USA, CO"	"Blue River at Dillon, CO"	"Blue River at Dillon, CO"	"Woodhouse, C.A.; Lukas, J.J."	"Woodhouse, C.A. and J.J. Lukas. 2006. Multi-century tree-ring reconstructions of Colorado streamflow for water resource planning. Climatic Change 78: 293-315."	http://www.treeflow.info/content/blue-river-dillon-co	USGS 09047000	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=09047000&agency_cd=USGS	bluedillon	39.613889	-106.051389
"USA, CO"	"Blue River above Green Mountain Res, CO"	"Blue River above Green Mountain Res, CO"	"Woodhouse, C.A.; Lukas, J.J."	"Woodhouse, C.A. and J.J. Lukas. 2006. Multi-century tree-ring reconstructions of Colorado streamflow for water resource planning. Climatic Change 78: 293-315."	http://www.treeflow.info/content/blue-river-above-green-mountain-reservoir-co	USGS 09053500	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=09053500&agency_cd=USGS	bluegreenmtn	39.831944	-106.222222
"USA, CO"	"Colorado River near Kremmling, CO"	"Colorado River near Kremmling, CO"			http://www.treeflow.info/content/colorado-river-near-kremmling-co	USGS 09058000	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=09058000&agency_cd=USGS	coloradokremmling	40.036667	-106.439444
"USA, CO"	"Roaring Fork River at Glenwood Springs, CO"	"Roaring Fork River at Glenwood Springs, CO"			http://www.treeflow.info/content/roaring-fork-river-glenwood-springs-co	USGS 09085000	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=09085000&agency_cd=USGS	roaringfork	39.543611	-107.328889
"USA, CO"	"Colorado River at Glenwood Spgs, CO"	"Colorado River at Glenwood Spgs, CO"	"Woodhouse, C.A.; Gray, S.T. ;  Meko, D.M."	"Woodhouse, C.A., S.T. Gray, and D.M. Meko. 2006. Updated streamflow reconstructions for the Upper Colorado River basin. Water Resources Research 42(5): W05415"	http://www.treeflow.info/content/colorado-river-glenwood-springs-co	USGS 09072500	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=09072500&agency_cd=USGS	coloradoglenwood	39.55	-107.320278
"USA, CO"	"Gunnison River at Crystal Reservoir, CO"	"Gunnison River at Crystal Reservoir, CO"	"Woodhouse, C.A.; Gray, S.T. ;  Meko, D.M."	"Woodhouse, C.A., S.T. Gray, and D.M. Meko. 2006. Updated streamflow reconstructions for the Upper Colorado River basin. Water Resources Research 42(5): W05415"	http://www.treeflow.info/content/gunnison-river-crystal-reservoir-co				gunnisoncrystal	38.529167	-107.648333
"USA, CO"	"Gunnison River near Grand Junction, CO"	"Gunnison River near Grand Junction, CO"	"Woodhouse, C.A.; Gray, S.T. ;  Meko, D.M."	"Woodhouse, C.A., S.T. Gray, and D.M. Meko. 2006. Updated streamflow reconstructions for the Upper Colorado River basin. Water Resources Research 42(5): W05416"	http://www.treeflow.info/content/gunnison-river-near-grand-junction-co	USGS 09152500	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=09152500&agency_cd=USGS	gunnisongrandjct	38.983333	-108.45
"USA, UT"	"Dolores River near Cisco, UT"	"Dolores River near Cisco, UT"	"Woodhouse, C.A.; Gray, S.T. ;  Meko, D.M."	"Woodhouse, C.A., S.T. Gray, and D.M. Meko. 2006. Updated streamflow reconstructions for the Upper Colorado River basin. Water Resources Research 42(5): W05417"	http://www.treeflow.info/content/dolores-river-near-cisco-ut	USGS 09180000	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=09180000&agency_cd=USGS	dolores	38.797222	-109.194444
"USA, UT"	"Colorado River near Cisco, UT"	"Colorado River near Cisco, UT"	"Woodhouse, C.A.; Gray, S.T. ;  Meko, D.M."	"Woodhouse, C.A., S.T. Gray, and D.M. Meko. 2006. Updated streamflow reconstructions for the Upper Colorado River basin. Water Resources Research 42(5): W05417"	http://www.treeflow.info/content/colorado-river-near-cisco-ut	USGS 09180500	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=09180500&agency_cd=USGS	coloradocisco	38.810556	-109.292778
"USA, CO"	"Animas River at Durango, CO"	"Animas River at Durango, CO"			http://www.treeflow.info/content/animas-river-durango-co	USGS 09361500	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=09361500&agency_cd=USGS	animas	37.279167	-107.879722
"USA, NM"	"San Juan River near Archuleta, NM"	"San Juan River near Archuleta, NM"	"Woodhouse, C.A.; Gray, S.T. ;  Meko, D.M."	"Woodhouse, C.A., S.T. Gray, and D.M. Meko. 2006. Updated streamflow reconstructions for the Upper Colorado River basin. Water Resources Research 42(5): W05417"	http://www.treeflow.info/content/san-juan-river-near-archuleta-nm	USGS 09355500	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=09355500&agency_cd=USGS	sanjuanarchuleta	36.801889	-107.698639
"USA, UT"	"San Juan River near Bluff, UT"	"San Juan River near Bluff, UT"	"Woodhouse, C.A.; Gray, S.T. ;  Meko, D.M."	"Woodhouse, C.A., S.T. Gray, and D.M. Meko. 2006. Updated streamflow reconstructions for the Upper Colorado River basin. Water Resources Research 42(5): W05417"	http://www.treeflow.info/content/san-juan-river-near-bluff-ut	USGS 09379500	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=09379500&agency_cd=USGS	sanjuanbluff	37.150678	-109.866689
"USA, AZ"	"Colorado River at Lees Ferry, AZ (Meko)"	"Colorado River at Lees Ferry, AZ (Meko)"	"Meko, D.M.; Woodhouse, C.A.; Baisan, C.A.; Knight, T.; Lukas, J.J.; Hughes, M.K; Salzer, M.W."	"Meko, D.M., Woodhouse, C.A., Baisan, C.A., Knight, T., Lukas, J.J., Hughes, M.K., and Salzer, M.W. 2007. Medieval Drought in the Upper Colorado River Basin. Geophysical Research Letters 34, L10705."	http://www.treeflow.info/content/colorado-r-lees-ferry-az-meko	USGS 09380000	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=09380000&agency_cd=USGS	coloradoleesmeko	36.864722	-111.5875
"USA, AZ"	"Colorado River at Lees Ferry, AZ (Woodhouse)"	"Colorado River at Lees Ferry, AZ (Woodhouse)"	"Woodhouse, C.A.; Gray, S.T. ;  Meko, D.M."	"Woodhouse, C.A., S.T. Gray, and D.M. Meko. 2006. Updated streamflow reconstructions for the Upper Colorado River basin. Water Resources Research 42(5): W05417"	http://www.treeflow.info/content/colorado-r-lees-ferry-az	USGS 09380000	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=09380000&agency_cd=USGS	coloradoleeswoodhouse	36.864722	-111.5875
"USA, WY"	"Snake River near Moran, WY"	"Snake River near Moran, WY"	"Wise, E.K."	"Wise, E. K. 2010. Tree ring record of streamflow and drought in the upper Snake River. Water Resources Research, 46, W11529, doi:10.1029/2010WR009282."	http://www.treeflow.info/content/snake-river-near-moran-wy-jackson-lk-dam	USGS 13010500		https://waterdata.usgs.gov/nwis/inventory/?site_no=13010500&agency_cd=USGS	snakemoran	43.857778	-110.59
"USA, ID"	"Snake River near Irwin, ID"	"Snake River near Irwin, ID"	"Wise, E.K."	"Wise, E. K. 2010. Tree ring record of streamflow and drought in the upper Snake River. Water Resources Research, 46, W11529, doi:10.1029/2010WR009282."	http://www.treeflow.info/content/snake-river-near-irwin-id-palisades-dam	HydroMet PALI	HydroMet	https://www.usbr.gov/pn-bin/dfcgi.pl?sta=PALI	snakeirwin	43.350833	-111.218333
"USA, ID"	"Snake River near Heise, ID"	"Snake River near Heise, ID"	"Wise, E.K."	"Wise, E. K. 2010. Tree ring record of streamflow and drought in the upper Snake River. Water Resources Research, 46, W11529, doi:10.1029/2010WR009282."	http://www.treeflow.info/content/snake-river-near-heise-id	HydroMet HEII	HydroMet	https://www.usbr.gov/pn-bin/dfcgi.pl?sta=HEII	snakeheise	43.6125	-111.66
"USA, OR"	Columbia River at the Dalles	Columbia River at the Dalles	"Littell, J.S.; Pederson, G.T.; Gray, S.T.; Tjoelker, M.; Hamlet, A.F.; Woodhouse, C.A."	"Littell, Jeremy S., Gregory T. Pederson, Stephen T. Gray, Michael Tjoelker, Alan F. Hamlet, and Connie A Woodhouse, 2016. Reconstructions of Columbia River Streamflow from Tree-Ring Chronologies in the Pacific Northwest, USA. Journal of the American Water Resources Association (JAWRA) 52(5):1121-1141. DOI: 10.1111/ 1752-1688.12442"	http://www.treeflow.info/content/columbia-river-dalles	USGS 14105700	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=14105700&agency_cd=USGS	columbiadalles	45.608278	-121.189917
"USA, WY"	"Wind River near Dubois, WY"	"Wind River near Dubois, WY"	"Watson, T.A.; Barnett, F.A.; Gray, S.T.; Tootle, G.A."	"Watson, T. A., F. A. Barnett, S. T. Gray, and G. A. Tootle. 2009. Reconstructed Streamflows for the Headwaters of the Wind River, Wyoming, United States. Journal of the American Water Resources Association 45(1):224-236."	http://www.treeflow.info/content/wind-river-near-dubois-wy	USGS 06218500	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=06218500&agency_cd=USGS	winddubois	43.578611	-109.759167
"USA, WY"	"Little Popo Agie River near Lander, WY"	"Little Popo Agie River near Lander, WY"	"Watson, T.A.; Barnett, F.A.; Gray, S.T.; Tootle, G.A."	"Watson, T. A., F. A. Barnett, S. T. Gray, and G. A. Tootle. 2009. Reconstructed Streamflows for the Headwaters of the Wind River, Wyoming, United States. Journal of the American Water Resources Association 45(1):224-236."	http://www.treeflow.info/content/little-popo-agie-river-near-lander-wy	USGS 06233000	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=06233000&agency_cd=USGS	littlepopoagie	42.716667	-108.642778
"USA, CO"	"Cache la Poudre River at Canyon Mouth, CO"	"Cache la Poudre River at Canyon Mouth, CO"	"Woodhouse, C.A.; Lukas, J.J."	"Woodhouse, C.A. and J.J. Lukas. 2006. Multi-century tree-ring reconstructions of Colorado streamflow for water resource planning. Climatic Change 78: 293-315."	http://www.treeflow.info/content/cache-la-poudre-river-canyon-mouth-co	USGS 06752000	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=06752000&agency_cd=USGS	poudre	40.664444	-105.223889
"USA, CO"	"Big Thompson River at Mouth of Canyon, CO"	"Big Thompson River at Mouth of Canyon, CO"	"Woodhouse, C.A.; Lukas, J.J."	"Woodhouse, C.A. and J.J. Lukas. 2006. Multi-century tree-ring reconstructions of Colorado streamflow for water resource planning. Climatic Change 78: 293-315."	http://www.treeflow.info/content/big-thompson-river-mouth-canyon-co	USGS 06738000	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=06738000&agency_cd=USGS	bigthompson	40.421667	-105.226111
"USA, CO"	"St. Vrain River at Lyons, CO"	"St. Vrain River at Lyons, CO"	"Woodhouse, C.A.; Lukas, J.J."	"Woodhouse, C.A. and J.J. Lukas. 2006. Multi-century tree-ring reconstructions of Colorado streamflow for water resource planning. Climatic Change 78: 293-315."	http://www.treeflow.info/content/st-vrain-river-lyons-co	USGS 06724000	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=06724000&agency_cd=USGS	stvrain	40.218056	-105.259444
"USA, CO"	"Boulder Creek near Orodell, CO"	"Boulder Creek near Orodell, CO"	"Woodhouse, C.; Lukas, J."	"Woodhouse, C., and J. Lukas. Streamflow Reconstructions for Boulder Creek, South Boulder Creek, and the Colorado River. Report to City of Boulder and Hydrosphere Resource Consultants, January 2006."	http://www.treeflow.info/content/boulder-creek-near-orodell-co	USGS 06727000	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=06727000&agency_cd=USGS	boulderorodell	40.006389	-105.330278
"USA, CO"	"S. Boulder Creek near Eldorado Spgs, CO"	"S. Boulder Creek near Eldorado Spgs, CO"	"Woodhouse, C.; Lukas, J."	"Woodhouse, C., and J. Lukas. Streamflow Reconstructions for Boulder Creek, South Boulder Creek, and the Colorado River. Report to City of Boulder and Hydrosphere Resource Consultants, January 2006."	http://www.treeflow.info/content/south-boulder-creek-near-eldorado-springs-co	USGS 06729500	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=06729500&agency_cd=USGS	soboulder	39.931111	-105.295278
"USA, CO"	"Clear Creek near Golden, CO"	"Clear Creek near Golden, CO"	"Woodhouse, C.; Lukas, J."	"Woodhouse, C., and J. Lukas. Tree-ring reconstruction of Clear Creek annual streamflow, 1566-2002. Report to City of Westminster, August 2006."	http://www.treeflow.info/content/clear-creek-near-golden-co	USGS 06719505	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=06719505&agency_cd=USGS	cleargolden	39.753056	-105.234722
"USA, CO"	"N. Fork of South Platte River at South Platte, CO"	"N. Fork of South Platte River at South Platte, CO"	"Woodhouse, C.A.; Lukas, J.J."	"Woodhouse, C.A. and J.J. Lukas. 2006. Multi-century tree-ring reconstructions of Colorado streamflow for water resource planning. Climatic Change 78: 293-315."	http://www.treeflow.info/content/n-fork-south-platte-river-south-platte-co	USGS 06707000	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=06707000&agency_cd=USGS	nforksplatte	39.408889	-105.175278
"USA, CO"	"South Platte River at South Platte, CO"	"South Platte River at South Platte, CO"	"Woodhouse, C.A.; Lukas, J.J."	"Woodhouse, C.A. and J.J. Lukas. 2006. Multi-century tree-ring reconstructions of Colorado streamflow for water resource planning. Climatic Change 78: 293-315."	http://www.treeflow.info/content/south-platte-river-south-platte-co	USGS 06707500	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=06707500&agency_cd=USGS	splattesplatte	39.409167	-105.169444
"USA, CO"	"South Platte River below Cheesman Lake, CO"	"South Platte River below Cheesman Lake, CO"	"Woodhouse, C.A.; Lukas, J.J."	"Woodhouse, C.A. and J.J. Lukas. 2006. Multi-century tree-ring reconstructions of Colorado streamflow for water resource planning. Climatic Change 78: 293-315."	http://www.treeflow.info/content/south-platte-river-below-cheesman-lake-co	USGS 06701500	USGS	https://waterdata.usgs.gov/nwis/inventory/?site_no=06701500&agency_cd=USGS	splattecheesman	39.209167	-105.267222
"USA, CA"	"Sacramento River, Four Rivers"	"Sacramento River, Four Rivers"	"Meko, D.M.; Woodhouse, C.A.; Touchan, R."	"Klamath/San Joaquin/Sacramento Hydroclimatic Reconstructions, Final Report to CADWR from Tree Rings"	http://www.treeflow.info/content/sacramento-river-four-rivers-index-ca-update	CDEC SAC4	CDEC		sacramento4		
